hs6,m_ind_world_p0,m_ind_world_p1,x_chl_ind_p0,x_chl_ind_p1,m_ind_total_p0,m_ind_total_p1,product_share_india_p0,product_share_india_p1,chile_share_product_p0,chile_share_product_p1,delta_product_share_india,delta_chile_share_product,avg_exports_p0,avg_exports_p1,avg_india_imports_p0,avg_india_imports_p1,growth_india_imports_pct,growth_chile_exports_pct,new_import_demand,sin_demanda,chile_entry,no_chile_presence,demand_dynamic,chile_competitive,quadrant_code,quadrant_name,d_aap_original,d_aap_expanded,d_aap_covered_p0,d_aap_covered_p1,d_aap_covered_only_p1,d_aap_covered_only_p0,d_added_2017,d_maintained_2017,d_removed_2017,concession_pct_min,concession_pct_max,d_partial_coverage,d_copper_260300,hs2,hs4,description_hs12
293359,666389687.0,1070360610.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0005605750314369,0.0005148669153991,0.0,0.0,-4.570811603779221e-05,0.0,0.0,0.0,222129895.66666663,356786870.0,60.62082455366691,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,29,2933,"Heterocyclic compounds: containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5"
080810,748280308.0,1064411897.0,68986288.0,73463259.0,1188760914470.0,2078907340881.0,0.000629462408203,0.000512005454052,0.092193109002676,0.0690176981364574,-0.000117456954151,-0.0231754108662186,22995429.33333333,24487753.0,249426769.3333333,354803965.6666667,42.24774935544608,6.48965342214094,0,0,0,0,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,08,0808,"Fruit, edible: apples, fresh"
700719,146677178.99999997,1060824685.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0001233866097165,0.0005102799264494,0.0,0.0,0.0003868933167329,0.0,0.0,0.0,48892392.99999999,353608228.3333333,623.2377198909724,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,70,7007,"Glass: safety glass, toughened (tempered), (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)"
400219,744055490.0,1053267326.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0006259084404131,0.0005066446711153,0.0,0.0,-0.0001192637692977,0.0,0.0,0.0,248018496.66666663,351089108.6666667,41.55763113850555,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,40,4002,"Rubber: synthetic, styrene-butadiene rubber (SBR) and carboxylated styrene-butadiene rubber (XSBR), (other than latex), in primary forms or in plates, sheets or strip"
841391,730506381.0,1047262717.0,19543.0,13353.0,1188760914470.0,2078907340881.0,0.0006145107667219,0.0005037563225671,2.6752675278821417e-05,1.2750382290177528e-05,-0.0001107544441547,-1.400229298864389e-05,6514.333333333333,4451.0,243502127.0,349087572.3333333,43.36120042735124,-31.673745074962905,0,0,0,0,0,0,4,retirada,0,1,0,1,1,0,1,0,0,5.0,95.0,1,0,84,8413,Pumps: parts thereof
261310,267388428.0,1047209334.0,88880785.0,444884145.0,1188760914470.0,2078907340881.0,0.0002249303663547,0.0005037306441739,0.3324032594260212,0.4248282846187847,0.0002788002778191,0.0924250251927635,29626928.33333333,148294715.0,89129476.0,349069778.0,291.64347605948,400.54029675818,0,0,0,0,1,1,1,estrella_naciente,0,1,0,1,1,0,1,0,0,80.0,80.0,0,0,26,2613,Molybdenum ores and concentrates: roasted
880330,4106513089.0,1037315397.0000002,0.0,0.0,1188760914470.0,2078907340881.0,0.0034544482738405,0.0004989714436047,0.0,0.0,-0.0029554768302357,0.0,0.0,0.0,1368837696.3333333,345771799.00000006,-74.73975184010426,,0,0,0,1,0,0,4,retirada,0,1,0,1,1,0,1,0,0,5.0,95.0,1,0,88,8803,Aircraft and spacecraft: parts of aeroplanes or helicopters n.e.c. in heading no. 8803
470500,278424114.0,1029253426.0,4467208.0,631864.0,1188760914470.0,2078907340881.0,0.0002342137183439,0.0004950934588377,0.0160446160205793,0.000613905170523,0.0002608797404937,-0.0154307108500562,1489069.3333333333,210621.3333333333,92808038.0,343084475.3333333,269.6710788491545,-85.85550527309226,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,47,4705,Wood pulp: obtained by a combination of mechanical and chemical pulping processes
880230,678107726.0,1022028283.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0005704323869887,0.0004916180066817,0.0,0.0,-7.881438030694454e-05,0.0,0.0,0.0,226035908.66666663,340676094.3333333,50.71768744307155,,0,0,0,1,0,0,4,retirada,0,1,0,1,1,0,1,0,0,5.0,95.0,1,0,88,8802,"Aeroplanes and other aircraft: of an unladen weight exceeding 2000kg but not exceeding 15,000kg"
890400,1360956730.0,1021516417.0,4910573.0,0.0,1188760914470.0,2078907340881.0,0.0011448531941401,0.0004913717879158,0.0036081771681308,0.0,-0.0006534814062243,-0.0036081771681308,1636857.6666666667,0.0,453652243.3333333,340505472.3333333,-24.94130088911791,-100.0,0,0,0,0,0,0,4,retirada,1,1,1,1,0,0,0,1,0,5.0,95.0,1,0,89,8904,Tugs and pusher craft
