hs6,m_ind_world_p0,m_ind_world_p1,x_chl_ind_p0,x_chl_ind_p1,m_ind_total_p0,m_ind_total_p1,product_share_india_p0,product_share_india_p1,chile_share_product_p0,chile_share_product_p1,delta_product_share_india,delta_chile_share_product,avg_exports_p0,avg_exports_p1,avg_india_imports_p0,avg_india_imports_p1,growth_india_imports_pct,growth_chile_exports_pct,new_import_demand,sin_demanda,chile_entry,no_chile_presence,demand_dynamic,chile_competitive,quadrant_code,quadrant_name,d_aap_original,d_aap_expanded,d_added_2017,d_maintained_2017,d_removed_2017,concession_pct_min,concession_pct_max,d_partial_coverage,d_copper_260300,hs2,hs4,description_hs12
271311,2821721258.0,5899493918.0,2419951.0,0.0,1188760914470.0,2078907340881.0,0.0023736659101532146,0.0028377858897260474,0.000857615185461384,0.0,0.0004641199795728328,-0.000857615185461384,806650.3333333334,0.0,940573752.6666666,1966497972.6666667,109.07429822396723,-100.0,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,27,2713,"Petroleum coke: (not calcined), obtained from bituminous minerals"
270400,3841219446.0,5653946567.0,1924876.0,28229261.0,1188760914470.0,2078907340881.0,0.0032312800658596506,0.0027196722315694787,0.0005011106569306897,0.004992841843388436,-0.000511607834290172,0.0044917311864577465,641625.3333333334,9409753.666666666,1280406482.0,1884648855.6666667,47.191449134405936,1366.5495855317433,0,0,0,0,0,1,3,estrella_menguante,0,0,0,0,0,,,0,0,27,2704,"Coke and semi-coke: of coal, lignite or peat, whether or not agglomerated: retort carbon"
870899,4602202633.999999,5589408872.000001,37540.0,52607.0,1188760914470.0,2078907340881.0,0.003871428289726245,0.0026886281856272243,8.156963737898727e-06,9.411907628288459e-06,-0.0011828001040990205,1.254943890389731e-06,12513.333333333334,17535.666666666668,1534067544.6666663,1863136290.666667,21.450733844415115,40.13585508790622,0,0,0,0,0,1,3,estrella_menguante,0,0,0,0,0,,,0,0,87,8708,Vehicle parts and accessories: n.e.c. in heading no. 8708
740400,2248648292.9999995,5340429466.0,4412938.0,8931997.0,1188760914470.0,2078907340881.0,0.001891590029272238,0.002568863633786021,0.00196248475750405,0.0016725241025774835,0.0006772736045137829,-0.00028996065492656645,1470979.3333333333,2977332.3333333335,749549430.9999999,1780143155.3333333,137.49509794949515,102.40476979282285,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,74,7404,Copper: waste and scrap
850440,2955773018.9999995,5273067171.0,29238.0,19515.0,1188760914470.0,2078907340881.0,0.0024864318661737025,0.002536460893329367,9.891828571427936e-06,3.7008821179683774e-06,5.002902715566448e-05,-6.190946453459559e-06,9746.0,6505.0,985257672.9999999,1757689057.0,78.39892092877922,-33.25466858198235,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,85,8504,Electrical static converters
390120,2208723599.0,4807358527.999999,0.0,0.0,1188760914470.0,2078907340881.0,0.0018580048957823807,0.0023124448278501607,0.0,0.0,0.00045443993206778,0.0,0.0,0.0,736241199.6666666,1602452842.6666663,117.6532423602723,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,39,3901,"Ethylene polymers: in primary forms, polyethylene having a specific gravity of 0.94 or more"
852580,2238588804.0,4788245397.0,586420.0,0.0,1188760914470.0,2078907340881.0,0.0018831278659578556,0.0023032509928849624,0.0002619596769858588,0.0,0.00042012312692710674,-0.0002619596769858588,195473.33333333334,0.0,746196268.0,1596081799.0,113.89570913801461,-100.0,0,0,0,0,1,0,2,oportunidad_perdida,0,1,1,0,0,5.0,95.0,1,0,85,8525,"Television cameras, digital cameras and video camera recorders"
080131,3891664195.0,4761612859.0,0.0,46356.0,1188760914470.0,2078907340881.0,0.0032737147963306555,0.002290440158329578,0.0,9.73535677357343e-06,-0.0009832746380010774,9.73535677357343e-06,0.0,15452.0,1297221398.3333333,1587204286.3333333,22.35415545662207,,0,0,1,0,0,1,3,estrella_menguante,0,0,0,0,0,,,0,0,08,0801,"Nuts, edible: cashew nuts, fresh or dried, in shell"
281410,2223685199.0,4707608396.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0018705907739163961,0.002264462827864665,0.0,0.0,0.0003938720539482688,0.0,0.0,0.0,741228399.6666666,1569202798.6666667,111.70300535871851,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,28,2814,Ammonia: anhydrous
847989,2277972695.0000005,4623540475.0,433415.0,4000.0,1188760914470.0,2078907340881.0,0.0019162580694500856,0.002224024315119612,0.00019026347460235904,8.651378789973716e-07,0.0003077662456695265,-0.00018939833672336167,144471.66666666666,1333.3333333333333,759324231.6666669,1541180158.3333333,102.96733517255787,-99.07709700864068,0,0,0,0,1,0,2,oportunidad_perdida,0,1,1,0,0,5.0,95.0,1,0,84,8479,"Machines and mechanical appliances: having individual functions, n.e.c. or included in this chapter"
