year,direction,hs6,trade_value_usd,quantity_tons
2013,IND_CHL,520512,2479195.0,843.322
2013,IND_CHL,520521,105124.0,32.73
2013,IND_CHL,520533,104208.0,26.33
2013,IND_CHL,520541,9575.0,2.884
2013,IND_CHL,520710,373957.0,25.176
2013,IND_CHL,520811,47557.0,12.202
2013,IND_CHL,520831,19842.0,0.792
2013,IND_CHL,520841,5059.0,0.085
2013,IND_CHL,520842,5199.0,0.118
2013,IND_CHL,520849,1931.0,0.006
2013,IND_CHL,520929,70766.0,6.103
2013,IND_CHL,520932,12513.0,0.197
2013,IND_CHL,521021,5344.0,0.436
2013,IND_CHL,521039,101450.0,14.013
2013,IND_CHL,521051,659.0,0.001
2013,IND_CHL,521119,120.0,0.002
2013,IND_CHL,521149,22.0,
2013,IND_CHL,521223,7011.0,0.292
2013,IND_CHL,521224,154.0,0.002
2013,IND_CHL,530500,38770.0,88.431
2013,IND_CHL,530620,41457.0,8.55
2013,IND_CHL,530919,18380.0,1.494
2013,IND_CHL,531010,305314.0,178.437
2013,IND_CHL,531090,78599.0,47.042
2013,IND_CHL,540239,18316.0,3.654
2013,IND_CHL,540252,14426.0,2.938
2013,IND_CHL,540261,13855.0,2.083
2013,IND_CHL,540720,161233.0,49.224
2013,IND_CHL,540730,3700.0,
2013,IND_CHL,540761,4874.0,0.478
2013,IND_CHL,540784,16866.0,1.029
2013,IND_CHL,550941,74735.0,61.463
2013,IND_CHL,551110,1310548.0,204.252
2013,IND_CHL,551421,25950.0,16.876
2013,IND_CHL,551613,190.0,0.003
2013,IND_CHL,551614,4588.0,0.346
2013,IND_CHL,551622,46387.0,9.215
2013,IND_CHL,551692,344.0,0.004
2013,IND_CHL,560600,27173.0,18.506
2013,IND_CHL,560741,22775.0,9.898
2013,IND_CHL,560811,26135.0,5.91
2013,IND_CHL,570110,171330.0,4.885
2013,IND_CHL,570220,979658.0,464.801
2013,IND_CHL,570232,17202.0,1.583
2013,IND_CHL,570239,1793.0,0.241
2013,IND_CHL,570241,60657.0,6.05
2013,IND_CHL,570242,1211.0,0.343
2013,IND_CHL,570249,56891.0,8.478
2013,IND_CHL,570299,734221.0,156.378
2013,IND_CHL,570410,14009.0,3.948
2013,IND_CHL,570490,139123.0,13.917
2013,IND_CHL,580131,2167.0,0.016
2013,IND_CHL,580500,260.0,0.315
2013,IND_CHL,580631,952.0,0.078
2013,IND_CHL,581010,5585.0,0.133
2013,IND_CHL,581092,228.0,0.005
2013,IND_CHL,590320,299093.0,17.163
2013,IND_CHL,590390,872053.0,309.084
2013,IND_CHL,590700,679.0,0.026
2013,IND_CHL,591190,226170.0,97.916
2013,IND_CHL,600199,93.0,0.002
2013,IND_CHL,610120,9358.0,0.325
2013,IND_CHL,610210,11739.0,0.116
2013,IND_CHL,610220,21523.0,0.761
2013,IND_CHL,610342,91410.0,3.961
2013,IND_CHL,610419,332.0,0.012
2013,IND_CHL,610433,3213.0,0.089
2013,IND_CHL,610449,25584.0,0.303
2013,IND_CHL,610452,63468.0,2.173
2013,IND_CHL,610462,205554.0,8.329
2013,IND_CHL,610469,19449.0,0.634
2013,IND_CHL,610510,1569430.0,45.553
2013,IND_CHL,610520,89855.0,2.472
2013,IND_CHL,610711,85792.0,3.344
2013,IND_CHL,610722,14386.0,0.924
2013,IND_CHL,610819,1578.0,0.025
2013,IND_CHL,610822,2537.0,0.044
2013,IND_CHL,610990,354708.0,8.93
2013,IND_CHL,611130,29447.0,0.929
2013,IND_CHL,611211,6103.0,0.229
2013,IND_CHL,611220,116.0,0.002
2013,IND_CHL,611510,85.0,
2013,IND_CHL,611521,5240.0,0.192
2013,IND_CHL,611699,496.0,0.027
2013,IND_CHL,611710,202626.0,5.446
2013,IND_CHL,620193,99280.0,2.139
2013,IND_CHL,620219,337.0,0.004
2013,IND_CHL,620293,39711.0,0.811
2013,IND_CHL,620322,10382.0,0.406
2013,IND_CHL,620343,448279.0,13.712
2013,IND_CHL,620411,7710.0,0.032
2013,IND_CHL,620412,16726.0,0.429
2013,IND_CHL,620413,4078.0000000000005,0.07
2013,IND_CHL,620419,1306.0,0.662
2013,IND_CHL,620439,2965.0,0.037
2013,IND_CHL,620444,468640.0,6.842
2013,IND_CHL,620459,198070.0,3.47
2013,IND_CHL,620461,185158.0,1.957
2013,IND_CHL,620462,1210817.0,34.946
2013,IND_CHL,620610,24395.0,0.115
2013,IND_CHL,620620,43.0,0.001
2013,IND_CHL,620640,2735212.0,49.538
2013,IND_CHL,620711,16975.0,0.695
2013,IND_CHL,620811,25023.0,0.602
2013,IND_CHL,620891,21908.0,0.899
2013,IND_CHL,620930,65802.0,1.383
2013,IND_CHL,621030,4911.0,0.141
2013,IND_CHL,621210,696837.0,9.746
2013,IND_CHL,621290,1070.0,0.012
2013,IND_CHL,621410,259269.0,1.125
2013,IND_CHL,621430,773100.0,24.538
2013,IND_CHL,621440,1406073.0,40.018
2013,IND_CHL,621790,1765.0,0.308
2013,IND_CHL,630222,54988.0,3.663
2013,IND_CHL,630231,687925.0,54.442
2013,IND_CHL,630240,49503.0,4.817
2013,IND_CHL,630253,14865.0,1.913
2013,IND_CHL,630299,5970.0,1.059
2013,IND_CHL,630391,863993.0,85.199
2013,IND_CHL,630499,38964.0,1.743
2013,IND_CHL,630510,76043.0,8.013
2013,IND_CHL,630533,3513191.0,1275.926
2013,IND_CHL,630710,118401.0,132.332
2013,IND_CHL,630720,3447.0,0.111
2013,IND_CHL,640110,140.0,0.012
2013,IND_CHL,640299,272957.0,13.215
2013,IND_CHL,640351,182537.0,2.295
2013,IND_CHL,640419,1662094.0,69.936
2013,IND_CHL,650700,796.0,0.018
2013,IND_CHL,660199,3489.0,0.485
2013,IND_CHL,680210,10824.0,0.39
2013,IND_CHL,680223,291850.0,409.043
2013,IND_CHL,680229,20820.0,33.048
2013,IND_CHL,680299,48251.0,55.217
2013,IND_CHL,680300,7801.0,11.898
2013,IND_CHL,680422,15523.0,0.35
2013,IND_CHL,680690,1.0,
2013,IND_CHL,681299,5168.0,14.48
2013,IND_CHL,681490,1679.0,0.033
2013,IND_CHL,681599,50646.0,18.049
2013,IND_CHL,690220,979794.0,586.778
2013,IND_CHL,691110,60286.0,12.841
2013,IND_CHL,700510,296935.0,266.376
2013,IND_CHL,700910,144411.0,7.442
2013,IND_CHL,700991,2451.0,0.065
2013,IND_CHL,700992,60259.0,9.346
2013,IND_CHL,701349,46463.0,19.364
2013,IND_CHL,701400,4808.0,0.779
2013,IND_CHL,701590,275.0,0.088
2013,IND_CHL,701710,4528.0,0.03
2013,IND_CHL,701951,19751.0,2.162
2013,IND_CHL,710229,653.0,
2013,IND_CHL,711610,4308.0,0.001
2013,IND_CHL,711620,986.0,0.035
2013,IND_CHL,711790,1148923.0,12.664
2013,IND_CHL,720241,5147484.0,3619.778
2013,IND_CHL,721061,2726182.0,3220.378
2013,IND_CHL,721230,171099.0,181.9
2013,IND_CHL,721240,180.0,0.003
2013,IND_CHL,721699,17.0,0.008
2013,IND_CHL,721710,2990.0,3.0
2013,IND_CHL,721899,873.0,0.056
2013,IND_CHL,722300,2066667.0,602.233
2013,IND_CHL,730240,3041.0,1.3
2013,IND_CHL,730431,1794.0,0.052
2013,IND_CHL,730439,4205.0,0.247
2013,IND_CHL,730441,11281.0,1.461
2013,IND_CHL,730511,1786022.0,1568.975
2013,IND_CHL,730519,2298.0,0.542
2013,IND_CHL,730650,9545.0,0.64
2013,IND_CHL,730729,379567.0,14.025
2013,IND_CHL,730791,92258.0,11.723
2013,IND_CHL,730799,109259.0,9.784
2013,IND_CHL,730820,2950.0,0.52
2013,IND_CHL,730890,60575.0,26.288
2013,IND_CHL,731414,1152.0,0.165
2013,IND_CHL,731441,5015.0,5.76
2013,IND_CHL,731519,3685.0,0.688
2013,IND_CHL,731589,21304.0,4.156
2013,IND_CHL,731811,52265.0,5.574
2013,IND_CHL,731819,166837.0,37.889
2013,IND_CHL,731824,18795.0,5.529
2013,IND_CHL,732393,1677893.0,266.634
2013,IND_CHL,732394,92615.0,20.037
2013,IND_CHL,732490,23042.0,1.286
2013,IND_CHL,732599,111184.0,40.418
2013,IND_CHL,732620,3046.0,0.913
2013,IND_CHL,741021,816.0,0.016
2013,IND_CHL,741910,69748.0,4.644
2013,IND_CHL,750512,1646.0,0.004
2013,IND_CHL,750521,7198.0,0.202
2013,IND_CHL,760611,57841.0,18.0
2013,IND_CHL,760820,3385.0,0.531
